index,bias
0,-0.023801207542419434
1,-0.023801207542419434
2,-0.029844999313354492
3,-0.05431675910949707
4,-0.06591081619262695
5,-0.05591303110122681
6,0.001141190528869629
7,-0.026185989379882812
8,-0.03830921649932861
9,-0.05190682411193848
10,-0.03174328804016113
11,-0.04504358768463135
12,-0.049887776374816895
14,-0.06054037809371948
17,-0.02484738826751709
18,-0.04197657108306885
20,-0.06756508350372314
22,-0.036307573318481445
23,-0.06299889087677002
25,-0.04244518280029297
26,-0.02768230438232422
27,0.07401812076568604
29,-0.03943014144897461
30,-0.0022166967391967773
32,-0.007384181022644043
33,-0.056746840476989746
35,-0.028418540954589844
37,-0.005732417106628418
38,-0.011693120002746582
39,-0.02984619140625
40,0.14549016952514648
41,-0.02711164951324463
42,0.0028728246688842773
43,-0.03418612480163574
44,-0.027855515480041504
45,0.09838211536407471
46,-0.0016330480575561523
47,-0.01667308807373047
48,-0.03960978984832764
49,-0.03976893424987793
50,-0.0366862416267395
51,-0.03558528423309326
52,-0.048853278160095215
53,-0.04006302356719971
54,-0.04770052433013916
55,0.014056682586669922
57,-0.0009728670120239258
58,0.12920689582824707
59,-0.027892351150512695
61,-0.07343006134033203
62,-0.05456852912902832
63,-0.05271756649017334
64,-0.007254481315612793
65,-0.05453479290008545
66,-0.04269850254058838
67,-0.037032246589660645
68,-0.043044090270996094
69,-0.02968430519104004
71,-0.056192636489868164
72,-0.01079249382019043
73,-0.025077462196350098
74,-0.0722665786743164
75,-0.058693647384643555
76,-0.025171875953674316
77,-0.05613851547241211
78,-0.039981842041015625
79,-0.03962135314941406
80,-0.03293287754058838
81,0.06587255001068115
82,-0.027257680892944336
83,-0.0317455530166626
84,-0.05981665849685669
85,-0.028881192207336426
86,-0.06380927562713623
87,-0.049141764640808105
89,-0.02297663688659668
90,-0.06400275230407715
92,-0.03263390064239502
93,-0.03741347789764404
94,0.0008556842803955078
95,-0.05882298946380615
96,-0.04349696636199951
98,0.021535873413085938
