index,bias
0,-0.011532366275787354
2,-0.07497012615203857
4,0.0035424232482910156
5,-0.012043476104736328
8,-0.04333901405334473
12,-0.048247575759887695
14,-0.04688006639480591
18,-0.010783672332763672
21,-0.07367485761642456
25,-0.03011143207550049
27,0.03623253107070923
29,-0.06764256954193115
33,-0.05598646402359009
37,0.006679177284240723
39,-0.008476972579956055
40,0.02669358253479004
45,0.006496906280517578
48,-0.027334272861480713
49,-0.04333901405334473
51,-0.0453677773475647
52,-0.07100027799606323
53,-0.023036479949951172
55,-0.02153944969177246
56,-0.0355762243270874
57,-0.008156955242156982
62,-0.023446738719940186
67,0.03216433525085449
72,-0.04543393850326538
73,-0.03278011083602905
77,-0.04489898681640625
78,-0.08333247900009155
79,-0.00020945072174072266
80,-0.07602417469024658
83,-0.06616723537445068
90,-0.0346793532371521
93,0.009561657905578613
94,-0.03278219699859619
95,-0.03246968984603882
98,-0.0029074549674987793
