index,bias
0,-0.04257774353027344
1,-0.04257774353027344
2,-0.062409400939941406
4,-0.007853507995605469
5,-0.09031391143798828
6,-0.07302200794219971
7,-0.03583264350891113
8,-0.05394399166107178
9,-0.0719754695892334
10,-0.038519978523254395
11,-0.07612478733062744
12,-0.05234038829803467
13,-0.042206525802612305
14,-0.05904710292816162
18,-0.04393136501312256
21,-0.04227006435394287
22,-0.08439362049102783
23,-0.016534090042114258
24,-0.05133414268493652
25,-0.07676339149475098
26,-0.05401110649108887
27,-0.027850747108459473
28,0.02003788948059082
29,-0.04916638135910034
30,-0.09281623363494873
32,-0.04257559776306152
33,-0.07122266292572021
34,-0.033589959144592285
35,-0.02001047134399414
37,-0.044684648513793945
38,0.01413416862487793
39,-0.10372692346572876
41,-0.04799199104309082
42,-0.04949140548706055
43,-0.06323873996734619
44,-0.056842803955078125
45,0.07175487279891968
46,-0.025839924812316895
47,-0.05191910266876221
48,-0.050586819648742676
49,-0.07364654541015625
50,-0.07805192470550537
51,-0.07322061061859131
52,-0.02249133586883545
53,-0.01839137077331543
54,-0.09125441312789917
55,-0.034083008766174316
56,-0.037413060665130615
57,-0.060694217681884766
58,-0.05847775936126709
59,-0.07940435409545898
61,-0.04975426197052002
62,-0.09281623363494873
63,-0.040968894958496094
64,-0.053286194801330566
65,-0.04933595657348633
66,-0.09985756874084473
67,-0.02391195297241211
68,-0.10851752758026123
69,-0.038809895515441895
71,-0.08324027061462402
72,-0.04502665996551514
73,-0.023177027702331543
74,-0.046256184577941895
75,-0.07551133632659912
76,-0.09281623363494873
77,-0.0983201265335083
78,-0.10980224609375
79,-0.04087674617767334
80,-0.05322098731994629
81,-0.03481781482696533
82,-0.021327733993530273
83,-0.05747330188751221
84,-0.08630239963531494
85,-0.08431267738342285
86,-0.06154024600982666
87,-0.049960196018218994
88,-0.05008065700531006
90,-0.07493388652801514
92,-0.053325772285461426
93,-0.019781112670898438
94,0.002514481544494629
95,-0.06715035438537598
96,-0.10372692346572876
97,0.05111372470855713
98,0.006438851356506348
99,-0.06445562839508057
