index,bias
0,-0.04477858543395996
1,-0.044248223304748535
2,-0.029320120811462402
4,-0.008340597152709961
5,-0.03626573085784912
7,-0.018709182739257812
8,-0.1152881383895874
10,-0.042005181312561035
12,-0.0562131404876709
13,0.0031191110610961914
14,-0.06583088636398315
15,-0.01955854892730713
17,-0.050589919090270996
18,0.01172184944152832
21,-0.02833002805709839
22,-0.05892288684844971
24,-0.08350437879562378
25,-0.018137574195861816
26,-0.02839970588684082
27,0.05395817756652832
29,0.0036679506301879883
32,-0.0720030665397644
33,-0.000801384449005127
34,0.009311974048614502
35,-0.0518186092376709
38,-0.027300894260406494
39,-0.047707319259643555
40,0.04950135946273804
45,-0.01253199577331543
48,-0.07879132032394409
50,0.015178561210632324
51,-0.03977459669113159
52,-0.08657902479171753
53,-0.07354354858398438
54,-0.07528668642044067
57,-0.02642303705215454
58,-0.034663498401641846
61,-0.024594783782958984
63,-0.002250194549560547
65,-0.012391328811645508
66,-0.061918795108795166
67,-0.07018375396728516
68,-0.06615829467773438
69,-0.021238982677459717
71,-0.08647710084915161
72,-0.05895066261291504
74,-0.05684387683868408
77,-0.0781714916229248
78,-0.06000000238418579
79,-0.015653371810913086
80,-0.07484632730484009
81,-0.054732561111450195
82,-0.07601916790008545
83,-0.033364295959472656
84,-0.049278974533081055
86,-0.06215047836303711
87,-0.06910878419876099
90,-0.02531421184539795
93,-0.035849928855895996
94,-0.06208604574203491
95,-0.060603976249694824
96,-0.06368762254714966
97,0.0054801106452941895
98,-0.01600480079650879
