index,bias
0,-0.0017098188400268555
1,-0.0017098188400268555
2,-0.027863144874572754
3,0.007669568061828613
4,-0.017032861709594727
5,-0.06691157817840576
6,-0.0600130558013916
7,0.008437514305114746
8,-0.034028053283691406
9,-0.026169538497924805
10,-0.009795427322387695
11,-0.034028053283691406
12,-0.02565300464630127
13,-0.005071043968200684
14,-0.04183006286621094
16,-0.03899085521697998
17,-0.06108182668685913
18,-0.014320969581604004
20,0.0035058259963989258
21,-0.05116927623748779
22,-0.027278780937194824
23,-0.03521311283111572
24,-0.03233170509338379
25,-0.037245869636535645
27,-0.009630084037780762
29,-0.017094969749450684
30,-0.031356215476989746
32,-0.020871996879577637
33,-0.031105875968933105
34,-0.011943459510803223
35,-0.038094282150268555
38,0.012298226356506348
39,-0.04799854755401611
41,0.016284942626953125
42,-0.019965529441833496
43,-0.0402827262878418
44,-0.026169538497924805
45,-0.01413869857788086
46,-0.015138864517211914
47,0.05505168437957764
48,-0.043115854263305664
49,-0.03647911548614502
51,-0.014624714851379395
54,-0.0023670196533203125
55,-0.060643792152404785
56,-0.03233170509338379
57,-0.07890200614929199
58,-0.024811506271362305
59,-0.0401303768157959
61,-0.04012870788574219
62,0.0012612342834472656
63,-0.03049600124359131
64,-0.05955362319946289
65,-0.0038160085678100586
66,-0.03472185134887695
67,-0.012643218040466309
69,-0.006668686866760254
70,-0.028338193893432617
71,-0.02320384979248047
72,0.005393862724304199
73,0.01094210147857666
74,-0.048059821128845215
75,-0.03209352493286133
76,-0.031356215476989746
77,-0.02941453456878662
78,-0.03183645009994507
79,-0.04663217067718506
80,-0.06842195987701416
82,-0.04506242275238037
83,-0.04663217067718506
84,-0.04325002431869507
85,-0.003910183906555176
86,-0.04749131202697754
87,-0.03645491600036621
88,0.0028228759765625
90,-0.045543670654296875
92,-0.03613686561584473
93,0.027429521083831787
94,-0.023664236068725586
95,-0.05471324920654297
96,-0.03061211109161377
97,0.07857948541641235
98,0.021106243133544922
99,-0.010577857494354248
