index,bias
0,-0.055029869079589844
1,-0.055029869079589844
2,-0.07726526260375977
4,-0.06977277994155884
5,-0.033818960189819336
6,-0.05295920372009277
7,-0.03260982036590576
8,-0.07486116886138916
9,-0.10132741928100586
10,-0.040578246116638184
11,-0.05352658033370972
12,-0.040343642234802246
13,-0.033362507820129395
14,-0.07294756174087524
17,-0.08168816566467285
21,-0.04436624050140381
22,-0.061864376068115234
23,-0.06793975830078125
25,-0.03915083408355713
27,-0.04968976974487305
29,-0.07282668352127075
32,0.07186877727508545
33,-0.04067635536193848
35,-0.043813467025756836
38,-0.05157315731048584
39,-0.05884683132171631
40,0.06704169511795044
41,-0.02675306797027588
43,-0.03887903690338135
44,-0.028467535972595215
45,0.02648305892944336
46,0.003895878791809082
48,-0.05721735954284668
49,-0.061391353607177734
50,-0.030728816986083984
51,-0.025925040245056152
52,-0.07801616191864014
53,-0.05224323272705078
54,-0.03828752040863037
55,-0.0104597806930542
56,-0.08961915969848633
57,-0.07082474231719971
58,-0.003796100616455078
59,-0.05343461036682129
61,-0.05313694477081299
63,-0.0701456069946289
64,-0.07481753826141357
65,0.055272042751312256
66,-0.04873192310333252
67,-0.03885841369628906
69,-0.02531147003173828
71,-0.039255380630493164
72,-0.04441213607788086
73,-0.015403270721435547
74,-0.05159270763397217
75,-0.07032513618469238
76,-0.03572797775268555
77,-0.05344116687774658
78,-0.07372313737869263
79,-0.0485532283782959
80,-0.019032955169677734
81,-0.0650780200958252
82,-0.09292912483215332
83,-0.045639991760253906
84,-0.08378517627716064
86,-0.09337961673736572
87,-0.08163279294967651
90,-0.057160258293151855
92,-0.05667996406555176
93,-0.05361199378967285
94,-0.030817270278930664
95,-0.10224223136901855
96,-0.06343388557434082
97,0.028496980667114258
98,-0.030135035514831543
