index,bias
0,-0.050647735595703125
1,-0.050647735595703125
2,-0.04967689514160156
3,-0.007155299186706543
4,0.04660928249359131
5,-0.031134843826293945
6,-0.04326808452606201
7,-0.06083858013153076
8,-0.07393765449523926
9,-0.04132354259490967
10,-0.0894308090209961
11,-0.07393765449523926
12,-0.058448076248168945
13,-0.053876638412475586
14,-0.033211708068847656
15,-0.05045676231384277
18,0.001855015754699707
19,-0.055283427238464355
20,-0.033803701400756836
22,-0.07050621509552002
23,-0.08077120780944824
25,-0.09288680553436279
27,-0.03514111042022705
28,0.05751800537109375
29,-0.05042380094528198
30,-0.01361691951751709
31,0.03309595584869385
32,-0.05419468879699707
33,-0.06089973449707031
34,-0.0741419792175293
35,-0.06387722492218018
36,0.00295412540435791
38,-0.030426859855651855
39,-0.07630836963653564
40,0.07116121053695679
41,-0.0536731481552124
43,-0.07317817211151123
44,-0.046076059341430664
45,-0.039153337478637695
46,0.013109207153320312
47,-0.046049654483795166
48,-0.06547915935516357
49,-0.05661666393280029
52,-0.033719539642333984
53,-0.05011546611785889
54,-0.06941020488739014
55,0.07192200422286987
56,-0.03472793102264404
57,-0.04817354679107666
58,-0.057890892028808594
59,-0.10829615592956543
60,-0.034183621406555176
61,-0.08994114398956299
62,-0.0017235279083251953
63,-0.07084274291992188
65,-0.07244729995727539
66,-0.02644038200378418
67,-0.059891700744628906
68,-0.030122041702270508
69,-0.07536113262176514
71,-0.01606595516204834
72,0.001879572868347168
73,-0.036257147789001465
74,-0.07982456684112549
75,-0.04782986640930176
76,-0.07903027534484863
77,-0.07016563415527344
78,-0.04749751091003418
79,-0.043573617935180664
80,-0.05537980794906616
82,-0.02217411994934082
83,-0.04496586322784424
84,-0.05006754398345947
85,-0.0689968466758728
86,-0.032413482666015625
87,-0.018456459045410156
88,-0.03561234474182129
89,-0.04964125156402588
90,-0.08680319786071777
91,-0.037940263748168945
92,-0.07050621509552002
94,-0.014844536781311035
95,-0.03241157531738281
96,-0.05367016792297363
98,-0.04831355810165405
99,0.001947164535522461
